country_zip;country_code;country;zip;municipality;county;region;address_count
CZ-10000;CZ;Česko;10000;Praha;území Hlavního města Prahy;Hlavní město Praha;4703
CZ-10100;CZ;Česko;10100;Praha;území Hlavního města Prahy;Hlavní město Praha;2091
CZ-10200;CZ;Česko;10200;Praha;území Hlavního města Prahy;Hlavní město Praha;2464
CZ-10300;CZ;Česko;10300;Praha;území Hlavního města Prahy;Hlavní město Praha;1502
CZ-10400;CZ;Česko;10400;Praha;území Hlavního města Prahy;Hlavní město Praha;2998
CZ-10600;CZ;Česko;10600;Praha;území Hlavního města Prahy;Hlavní město Praha;1866
CZ-10700;CZ;Česko;10700;Praha;území Hlavního města Prahy;Hlavní město Praha;1156
CZ-10800;CZ;Česko;10800;Praha;území Hlavního města Prahy;Hlavní město Praha;832
CZ-10900;CZ;Česko;10900;Praha;území Hlavního města Prahy;Hlavní město Praha;1339
CZ-11000;CZ;Česko;11000;Praha;území Hlavního města Prahy;Hlavní město Praha;2860
CZ-11101;CZ;Česko;11101;Praha;území Hlavního města Prahy;Hlavní město Praha;649
CZ-11800;CZ;Česko;11800;Praha;území Hlavního města Prahy;Hlavní město Praha;941
CZ-11900;CZ;Česko;11900;Praha;území Hlavního města Prahy;Hlavní město Praha;50
CZ-12000;CZ;Česko;12000;Praha;území Hlavního města Prahy;Hlavní město Praha;2580
CZ-12800;CZ;Česko;12800;Praha;území Hlavního města Prahy;Hlavní město Praha;728
CZ-13000;CZ;Česko;13000;Praha;území Hlavního města Prahy;Hlavní město Praha;4285
CZ-14000;CZ;Česko;14000;Praha;území Hlavního města Prahy;Hlavní město Praha;4711
CZ-14100;CZ;Česko;14100;Praha;území Hlavního města Prahy;Hlavní město Praha;2659
CZ-14200;CZ;Česko;14200;Praha;území Hlavního města Prahy;Hlavní město Praha;3630
CZ-14300;CZ;Česko;14300;Praha;území Hlavního města Prahy;Hlavní město Praha;4380
CZ-14700;CZ;Česko;14700;Praha;území Hlavního města Prahy;Hlavní město Praha;3366
CZ-14800;CZ;Česko;14800;Praha;území Hlavního města Prahy;Hlavní město Praha;2510
CZ-14900;CZ;Česko;14900;Jesenice;Praha-západ;Středočeský kraj;7
CZ-14900;CZ;Česko;14900;Praha;území Hlavního města Prahy;Hlavní město Praha;4673
CZ-15000;CZ;Česko;15000;Praha;území Hlavního města Prahy;Hlavní město Praha;5946
CZ-15200;CZ;Česko;15200;Praha;území Hlavního města Prahy;Hlavní město Praha;1319
CZ-15300;CZ;Česko;15300;Praha;území Hlavního města Prahy;Hlavní město Praha;1813
CZ-15400;CZ;Česko;15400;Praha;území Hlavního města Prahy;Hlavní město Praha;1946
CZ-15500;CZ;Česko;15500;Praha;území Hlavního města Prahy;Hlavní město Praha;4256
CZ-15521;CZ;Česko;15521;Praha;území Hlavního města Prahy;Hlavní město Praha;796
CZ-15531;CZ;Česko;15531;Praha;území Hlavního města Prahy;Hlavní město Praha;1672
CZ-15600;CZ;Česko;15600;Praha;území Hlavního města Prahy;Hlavní město Praha;1836
CZ-15800;CZ;Česko;15800;Praha;území Hlavního města Prahy;Hlavní město Praha;1954
CZ-15900;CZ;Česko;15900;Praha;území Hlavního města Prahy;Hlavní město Praha;1355
CZ-16000;CZ;Česko;16000;Praha;území Hlavního města Prahy;Hlavní město Praha;5531
CZ-16100;CZ;Česko;16100;Praha;území Hlavního města Prahy;Hlavní město Praha;1893
CZ-16200;CZ;Česko;16200;Praha;území Hlavního města Prahy;Hlavní město Praha;2689
CZ-16300;CZ;Česko;16300;Praha;území Hlavního města Prahy;Hlavní město Praha;1372
CZ-16400;CZ;Česko;16400;Praha;území Hlavního města Prahy;Hlavní město Praha;1615
CZ-16500;CZ;Česko;16500;Praha;území Hlavního města Prahy;Hlavní město Praha;1809
CZ-16900;CZ;Česko;16900;Praha;území Hlavního města Prahy;Hlavní město Praha;2449
CZ-17000;CZ;Česko;17000;Praha;území Hlavního města Prahy;Hlavní město Praha;2115
CZ-17100;CZ;Česko;17100;Praha;území Hlavního města Prahy;Hlavní město Praha;437
CZ-18000;CZ;Česko;18000;Praha;území Hlavního města Prahy;Hlavní město Praha;1477
CZ-18100;CZ;Česko;18100;Praha;území Hlavního města Prahy;Hlavní město Praha;2150
CZ-18200;CZ;Česko;18200;Praha;území Hlavního města Prahy;Hlavní město Praha;5364
CZ-18400;CZ;Česko;18400;Praha;území Hlavního města Prahy;Hlavní město Praha;1337
CZ-18600;CZ;Česko;18600;Praha;území Hlavního města Prahy;Hlavní město Praha;831
CZ-19000;CZ;Česko;19000;Praha;území Hlavního města Prahy;Hlavní město Praha;3330
CZ-19011;CZ;Česko;19011;Praha;území Hlavního města Prahy;Hlavní město Praha;615
CZ-19012;CZ;Česko;19012;Praha;území Hlavního města Prahy;Hlavní město Praha;940
CZ-19014;CZ;Česko;19014;Praha;území Hlavního města Prahy;Hlavní město Praha;1328
CZ-19015;CZ;Česko;19015;Praha;území Hlavního města Prahy;Hlavní město Praha;785
CZ-19016;CZ;Česko;19016;Praha;území Hlavního města Prahy;Hlavní město Praha;3510
CZ-19017;CZ;Česko;19017;Praha;území Hlavního města Prahy;Hlavní město Praha;987
CZ-19300;CZ;Česko;19300;Praha;území Hlavního města Prahy;Hlavní město Praha;3171
CZ-19600;CZ;Česko;19600;Praha;území Hlavního města Prahy;Hlavní město Praha;1964
CZ-19700;CZ;Česko;19700;Praha;území Hlavního města Prahy;Hlavní město Praha;1264
CZ-19800;CZ;Česko;19800;Praha;území Hlavního města Prahy;Hlavní město Praha;4555
CZ-19900;CZ;Česko;19900;Praha;území Hlavního města Prahy;Hlavní město Praha;963
