municipality;county;obec_kod;okres_kod;vusc_kod;okres_lau1;region_nuts3
Badín;Banská Bystrica;508454;601;6;SK0321;SK032
Baláže;Banská Bystrica;508471;601;6;SK0321;SK032
Banská Bystrica;Banská Bystrica;508438;601;6;SK0321;SK032
Brusno;Banská Bystrica;508675;601;6;SK0321;SK032
Dolná Mičiná;Banská Bystrica;508543;601;6;SK0321;SK032
Dolný Harmanec;Banská Bystrica;508551;601;6;SK0321;SK032
Donovaly;Banská Bystrica;508560;601;6;SK0321;SK032
Dúbravica;Banská Bystrica;508586;601;6;SK0321;SK032
Harmanec;Banská Bystrica;508594;601;6;SK0321;SK032
Hiadeľ;Banská Bystrica;508616;601;6;SK0321;SK032
Horná Mičiná;Banská Bystrica;508632;601;6;SK0321;SK032
Horné Pršany;Banská Bystrica;508641;601;6;SK0321;SK032
Hrochoť;Banská Bystrica;508659;601;6;SK0321;SK032
Hronsek;Banská Bystrica;580236;601;6;SK0321;SK032
Kordíky;Banská Bystrica;508713;601;6;SK0321;SK032
Králiky;Banská Bystrica;508721;601;6;SK0321;SK032
Kynceľová;Banská Bystrica;557277;601;6;SK0321;SK032
Lučatín;Banská Bystrica;508756;601;6;SK0321;SK032
Malachov;Banská Bystrica;580244;601;6;SK0321;SK032
Medzibrod;Banská Bystrica;508764;601;6;SK0321;SK032
Motyčky;Banská Bystrica;508802;601;6;SK0321;SK032
Moštenica;Banská Bystrica;508799;601;6;SK0321;SK032
Môlča;Banská Bystrica;508781;601;6;SK0321;SK032
Nemce;Banská Bystrica;557285;601;6;SK0321;SK032
Oravce;Banská Bystrica;508837;601;6;SK0321;SK032
Podkonice;Banská Bystrica;508861;601;6;SK0321;SK032
Pohronský Bukovec;Banská Bystrica;508896;601;6;SK0321;SK032
Poniky;Banská Bystrica;508918;601;6;SK0321;SK032
Povrazník;Banská Bystrica;508926;601;6;SK0321;SK032
Priechod;Banská Bystrica;508942;601;6;SK0321;SK032
