country_zip;country_code;country;zip;municipality;county;region;obec_kod;okres_kod;okres_lau1;vusc_kod;region_nuts3;region_iso
CZ-10000;CZ;Česko;10000;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-10100;CZ;Česko;10100;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-10200;CZ;Česko;10200;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-10300;CZ;Česko;10300;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-10400;CZ;Česko;10400;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-10600;CZ;Česko;10600;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-10700;CZ;Česko;10700;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-10800;CZ;Česko;10800;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-10900;CZ;Česko;10900;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-11000;CZ;Česko;11000;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-11101;CZ;Česko;11101;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-11800;CZ;Česko;11800;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-11900;CZ;Česko;11900;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-12000;CZ;Česko;12000;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-12800;CZ;Česko;12800;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-13000;CZ;Česko;13000;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-14000;CZ;Česko;14000;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-14100;CZ;Česko;14100;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-14200;CZ;Česko;14200;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-14300;CZ;Česko;14300;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-14700;CZ;Česko;14700;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-14800;CZ;Česko;14800;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-14900;CZ;Česko;14900;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15000;CZ;Česko;15000;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15200;CZ;Česko;15200;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15300;CZ;Česko;15300;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15400;CZ;Česko;15400;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15500;CZ;Česko;15500;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15521;CZ;Česko;15521;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15531;CZ;Česko;15531;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15600;CZ;Česko;15600;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15800;CZ;Česko;15800;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-15900;CZ;Česko;15900;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
CZ-16000;CZ;Česko;16000;Praha;území Hlavního města Prahy;Hlavní město Praha;554782;9999;CZ0100;19;CZ010;CZ-10
